log.prior	log.likelihood	log.likelihood.test.set
-6.962279741628582315e+02 -6.037755650231018762e+02 -1.878670874428615889e+01
-7.009799380406711862e+02 -6.057881473975894551e+02 -1.888373080610392662e+01
-6.926542496727855678e+02 -6.099791424271096503e+02 -1.824156397920961581e+01
-7.000492701999654628e+02 -6.013412439178919158e+02 -1.845330215413730457e+01
-6.995307359862821386e+02 -6.045997012727393667e+02 -1.816082165101926194e+01
-6.876211813805288102e+02 -6.078913417347943096e+02 -1.829606983991789093e+01
-6.998780104514356708e+02 -6.043603562673195029e+02 -1.819524825318188732e+01
-7.022536880702162989e+02 -6.064949270075364893e+02 -1.880944217970790078e+01
-7.067886437169149758e+02 -5.981518286206594439e+02 -1.828101953667714952e+01
-6.959889195974145650e+02 -6.051163108436110178e+02 -1.854044774790850170e+01
-7.038565402424227386e+02 -6.009200497753313357e+02 -1.832179369160985516e+01
-7.093144819528755534e+02 -6.041942096843160925e+02 -1.846930164214046499e+01
-7.197952251051568737e+02 -5.999857155532256456e+02 -1.818148774152831493e+01
-7.254800672412255835e+02 -6.015758799678141031e+02 -1.790616802263832597e+01
-7.280170200157157296e+02 -6.068630882075952968e+02 -1.827823680984840848e+01
-7.239989537495317791e+02 -6.020367506722500366e+02 -1.840307347154384843e+01
-7.173972451956909708e+02 -6.133215150893429382e+02 -1.893667812712516252e+01
-7.210562510991766203e+02 -6.085782556389488036e+02 -1.870014078154821391e+01
-7.178144033692010453e+02 -6.039671063701973708e+02 -1.846980622807200234e+01
-7.274663049406448181e+02 -6.055437224486865944e+02 -1.812693065725497377e+01
-7.257201994482971941e+02 -6.030803042454773504e+02 -1.852786916191882938e+01
-7.214694450671917139e+02 -6.063856856817810694e+02 -1.832859491802713592e+01
-7.267175528420427781e+02 -6.024619984091696097e+02 -1.842705489914754935e+01
-7.257296740337243364e+02 -6.029167004113458006e+02 -1.853546260831188874e+01
-7.209817486307401850e+02 -6.034482158161831649e+02 -1.840737728272210916e+01
-7.289295937808243480e+02 -6.035061680779569997e+02 -1.835852949562956837e+01
