influence.1.1		influence.1.2		influence.1.3		influence.2.1		influence.2.2		influence.2.3		influence.3.1		influence.3.2		influence.3.3		
0.000000000000000000e+00 8.846729523388194849e+00 8.715502617575875632e+00 9.336621442721625641e+00 0.000000000000000000e+00 2.598293114101134478e-08 9.640516308807772106e+00 9.854941062234409799e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.583482782021892632e+00 9.367774115896841280e+00 9.646491594010509374e+00 0.000000000000000000e+00 2.553233568058849903e-08 8.467538154543179374e+00 9.993054378174598185e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.071217222790167511e+00 9.584368327121314479e+00 6.548124326380428961e+00 0.000000000000000000e+00 2.254099668727956732e-08 9.160793814755850306e+00 9.503705876718420598e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.373298488914828752e+00 9.877213576363082836e+00 5.444272836038429375e+00 0.000000000000000000e+00 3.499724307007522136e-08 9.103576258050109615e+00 9.098656350144157301e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.102229120712252097e+00 9.928882216843248898e+00 2.914738653196956797e+00 0.000000000000000000e+00 8.875142520330583226e-09 9.667107971575315872e+00 8.301940671929360249e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.435115268529541410e+00 9.597362445404293396e+00 8.023703369655363460e+00 0.000000000000000000e+00 8.730355536278937543e-10 9.923253197407314374e+00 9.490389977200850424e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.026801770820249260e+00 9.667599465144558479e+00 5.546745780293244721e+00 0.000000000000000000e+00 1.372731854940388471e-10 9.706765083984608466e+00 9.871208437625639931e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.619610584068224668e+00 9.826557058453254001e+00 8.150363360629405918e+00 0.000000000000000000e+00 1.103097089333950567e-11 9.814504373835575279e+00 9.567614043467912666e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.917732439189860472e+00 9.999875603986991379e+00 8.442937232689073923e+00 0.000000000000000000e+00 1.740091785652841081e-11 9.847662735464522754e+00 8.834824414225877831e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.884221975645278491e+00 9.096586963904513823e+00 9.827941921765438238e+00 0.000000000000000000e+00 1.239291105111372248e-09 9.431192792882171716e+00 8.560865155232210810e+00 0.000000000000000000e+00
