word.concentration.1	word.concentration.2	word.concentration.3	
6.656338439611061197e+00 7.144346100302815472e+00 8.203086381055918253e+00
4.059874007504545190e+00 8.290170499633237711e+00 8.913857032687502624e+00
4.749173861479525804e+00 4.801582401846919979e+00 4.493523553328881981e+00
4.108044239265179698e+00 6.429838211201690967e+00 8.491050109886872477e+00
2.160341920077238687e+00 9.035048347140310909e+00 5.709703317335064199e+00
2.126208922846440696e+00 7.975170991860704994e+00 5.597287689734546490e+00
2.705592062931544195e+00 5.981307525348666054e+00 3.545128325014012649e+00
3.404064217772564405e+00 5.665930099626412364e+00 4.112744470295337962e+00
3.338182169025211810e+00 6.622036273944680751e+00 3.868179125679326980e+00
2.709635698688803718e+00 9.786598065742449393e+00 4.917752676524949074e+00
3.174748134123677623e+00 7.926387299771719519e+00 3.951275011783540680e+00
3.531165192319928092e+00 7.496027664355777276e+00 4.443941429406950583e+00
4.863964495203868310e+00 9.555269864553155301e+00 4.447752702375685097e+00
4.753341078278680243e+00 9.054277282598810928e+00 5.218668376993132796e+00
4.037904594841268846e+00 7.785267969015460920e+00 4.447130533203740299e+00
5.614149780871526829e+00 7.175532043773736213e+00 3.661241219167904681e+00
2.952900876807963648e+00 8.411016002991736684e+00 7.074896370562272274e+00
2.965266980484741133e+00 6.822707861696768461e+00 6.188008965965391184e+00
4.321587607903534689e+00 9.655983677571986945e+00 3.565391919093247708e+00
3.998852153330251014e+00 8.080046385970321765e+00 3.971109748920197635e+00
3.654005534736699090e+00 6.116289090067955847e+00 4.311803056924566668e+00
3.493676532395856071e+00 4.210656026199955271e+00 6.767148507184451489e+00
3.497327171354089881e+00 8.301271619315929939e+00 4.255189209284363727e+00
4.013054768131772754e+00 6.043630767752112831e+00 4.715447047860413576e+00
4.024323822951861196e+00 6.230968685351147229e+00 2.354197598011309012e+00
4.526865862094673787e+00 7.369698451527635363e+00 3.823774692270952791e+00
5.684739696871913495e+00 9.151076265895474293e+00 8.889580383817603959e+00
6.033493573922706688e+00 6.732236149611067866e+00 4.769289108222486639e+00
6.220091424244812650e+00 7.568485595351338802e+00 6.319027030363174369e+00
2.295461275638372545e+00 6.781123790113783301e+00 3.504491389937089529e+00
2.970117238577621332e+00 5.781446799405836501e+00 3.559232957303570366e+00
4.558848126233455922e+00 8.867019061077183295e+00 4.847250551959842113e+00
4.325031133458821841e+00 9.523940231500729325e+00 5.679717249746749630e+00
3.216332207322076364e+00 8.225003948161315748e+00 4.212905543161472366e+00
3.600654536054955557e+00 7.933431565705905797e+00 4.548697222296481435e+00
4.016737116710328515e+00 5.468074266721033361e+00 3.149030788687791738e+00
3.337802503701455148e+00 9.246004405783503799e+00 6.193078324917111743e+00
3.373880727259284562e+00 9.940850330364906284e+00 9.840530876503278179e+00
5.018620459894246544e+00 5.158624255162020056e+00 6.227366106353077413e+00
4.917997833067063063e+00 9.132278332840847668e+00 3.962016051726277688e+00
5.024734605807426924e+00 9.976131627971467353e+00 4.734054237755200845e+00
2.556845623398640743e+00 5.980545147590584421e+00 4.546758505807552808e+00
4.073936467532194960e+00 9.085534991125543414e+00 7.414619555107289983e+00
4.166217776243205329e+00 8.838083737117290895e+00 4.197551359619883904e+00
4.177053132210133413e+00 8.564066449813047655e+00 4.879866537147861116e+00
3.575822899933831955e+00 4.397058151518369762e+00 6.257500319492868002e+00
3.310687513271333593e+00 8.878694443420519278e+00 3.693808404798358147e+00
3.541449146009072901e+00 6.230328769769251984e+00 3.404464790796272844e+00
3.713884718044909494e+00 6.499670542234092352e+00 3.660624484942093915e+00
3.927190130521265754e+00 9.952973679424323095e+00 5.737010544142341573e+00
3.181874551146815833e+00 5.642575870308174757e+00 4.099252028111432189e+00
3.640551537302512131e+00 7.373173223771448015e+00 3.794058267034830401e+00
4.039397773912841494e+00 5.665067833380834195e+00 6.992616208179116555e+00
3.909622997084464924e+00 5.677718095856820746e+00 5.890399193925698995e+00
2.690244261882718924e+00 5.887113941450432542e+00 6.437616024551090277e+00
