time.decay.1	time.decay.2	time.decay.3	
1.148893783888481579e+02 1.003392385075316611e+02 1.042107118975657585e+02
1.044299309443223081e+02 1.064629898073374932e+02 1.115136836981232591e+02
1.056253258185517012e+02 1.145947822636043867e+02 9.725214185945000622e+01
9.817017036568786637e+01 1.036430525819066872e+02 9.801709074977394209e+01
1.174939813642698709e+02 1.202190606161368009e+02 9.767616989988400178e+01
9.821314947542879281e+01 1.157633087543951831e+02 1.049594440257068015e+02
9.825670847468239799e+01 9.942281256055694882e+01 9.957052432196469738e+01
9.216951630200944123e+01 1.034699425836483044e+02 1.040690730429367648e+02
9.670634145843712304e+01 1.225465164342632960e+02 1.120035496195483091e+02
1.040650883228472452e+02 1.108245723476638602e+02 1.019146028550559890e+02
9.842388686720269675e+01 1.055137913113428283e+02 9.859040930795472946e+01
1.057192396377173793e+02 1.065452153713999479e+02 1.030179813700677585e+02
1.000151145897525424e+02 1.118520657576552111e+02 8.667779490453985147e+01
1.081665090560281328e+02 9.727820994931016685e+01 1.016846306815932621e+02
1.063736091903381009e+02 1.005626229416995727e+02 1.084299508313968374e+02
9.846620522764952455e+01 9.913655547065810936e+01 9.829092893225319472e+01
9.625349016889452969e+01 9.929985369020990049e+01 1.065260870467334371e+02
1.096996554708346139e+02 9.513816012890468699e+01 9.942168140580116642e+01
1.145298356845852084e+02 1.048613974691018313e+02 9.502630955121438205e+01
1.140605433335630607e+02 9.713775871047538146e+01 9.594832327000600003e+01
1.020070365276160516e+02 9.488608240514207637e+01 1.070676499256721854e+02
1.150112346653405666e+02 1.126075270606684455e+02 1.041430289765653185e+02
9.654995464960319396e+01 1.146475549665490234e+02 9.710445341315023882e+01
8.590705293802221831e+01 1.079835468940382697e+02 1.055338542211780322e+02
9.963005775688702670e+01 1.111476274558812349e+02 1.010230079612848897e+02
1.025970459990580821e+02 1.006630449879015003e+02 9.405800353895291721e+01
9.737282124025551866e+01 1.009277337910079950e+02 9.697354042159484777e+01
1.060704944044626927e+02 1.014229630013479095e+02 9.802993447266968019e+01
1.054318064439564324e+02 1.073391022198518812e+02 1.006004923569471714e+02
9.482651284214223608e+01 1.114152952051821046e+02 1.010865935533190481e+02
9.381524680366170799e+01 1.142380774157786050e+02 1.142775171142419595e+02
8.193988249034225646e+01 1.028588915930861134e+02 9.109203140672642007e+01
7.731561895624419378e+01 1.065359342476186839e+02 1.049358387680268550e+02
8.036591443428675063e+01 9.901218697027282190e+01 7.962270188280247396e+01
8.836154199905995199e+01 8.598663817774468043e+01 8.925193966969339954e+01
8.785624651909810723e+01 9.050462836619381335e+01 1.001380260032849776e+02
1.188031476281766459e+02 1.007430716257604075e+02 1.046395283240416063e+02
1.119901262924888812e+02 9.624227698977618672e+01 1.050822159796873052e+02
9.773289794003869702e+01 9.852912697447311530e+01 1.175529112131284961e+02
1.135982515382207509e+02 1.020079490247687062e+02 1.146296917989535871e+02
1.075389629752566236e+02 9.879021968885942329e+01 1.083210503866909136e+02
8.267401556465220835e+01 1.090515128815639372e+02 1.062837251814659112e+02
1.080359712127206961e+02 1.124617663812457664e+02 1.073168493089467148e+02
1.082287283782993370e+02 9.646684842976675611e+01 9.231833553327197706e+01
1.008800833859165067e+02 7.675981635353846855e+01 1.067061904963933330e+02
1.011806038554492204e+02 8.526915653336905621e+01 8.852035765969648651e+01
9.330705681009442287e+01 9.661579151293622658e+01 9.408017165252053360e+01
1.029093491220995560e+02 1.001280814586604890e+02 1.018173213995544870e+02
9.474780477839591697e+01 1.071298587772791251e+02 1.185599767456935751e+02
1.111718558458132264e+02 1.005926944102307630e+02 9.665261357893726313e+01
8.733946197098298114e+01 1.025559024755391704e+02 9.040977758907010298e+01
